"date","away","home","spread","vig","src","updated"
"04/1 07:15 PM","76ers","Cavaliers","10.0",-115,"bovada","04/1 10:11 AM"
"04/1 07:15 PM","Wizards","Pistons","3.0",-110,"bovada","04/1 10:11 AM"
"04/1 07:45 PM","Hornets","Nets","-3.0",-110,"bovada","04/1 10:11 AM"
"04/1 08:15 PM","Warriors","Heat","-2.5",-110,"bovada","04/1 10:11 AM"
"04/1 08:15 PM","Magic","Pelicans","-9.0",-110,"bovada","04/1 10:11 AM"
"04/1 08:45 PM","Hawks","Spurs","1.0",-110,"bovada","04/1 10:11 AM"
"04/1 10:15 PM","Nuggets","Clippers","1.5",-105,"bovada","04/1 10:11 AM"
