"date","away","home","spread","vig","src","updated"
"11/19 8:20 PM","Cardinals","Seahawks","-3.0",-104,"draftkings","11/19 2:49 PM"
"11/22 1:00 PM","Eagles","Browns","-3.0",-110,"draftkings","11/19 2:49 PM"
"11/22 1:00 PM","Bengals","Football Team","-1.5",-110,"draftkings","11/19 2:49 PM"
"11/22 1:00 PM","Steelers","Jaguars","10.5",-112,"draftkings","11/19 2:49 PM"
"11/22 1:00 PM","Lions","Panthers","-1.5",-110,"draftkings","11/19 2:49 PM"
"11/22 1:00 PM","Titans","Ravens","-5.5",-115,"draftkings","11/19 2:49 PM"
"11/22 1:00 PM","Falcons","Saints","-4.0",-113,"draftkings","11/19 2:49 PM"
"11/22 1:00 PM","Patriots","Texans","2.0",-110,"draftkings","11/19 2:49 PM"
"11/22 4:05 PM","Dolphins","Broncos","3.5",-110,"draftkings","11/19 2:49 PM"
"11/22 4:05 PM","Jets","Chargers","-9.0",-117,"draftkings","11/19 2:49 PM"
"11/22 4:25 PM","Packers","Colts","-1.5",-110,"draftkings","11/19 2:49 PM"
"11/22 4:25 PM","Cowboys","Vikings","-7.0",-118,"draftkings","11/19 2:49 PM"
"11/22 8:20 PM","Chiefs","Raiders","8.0",-110,"draftkings","11/19 2:49 PM"
"11/23 8:15 PM","Rams","Buccaneers","-4.0",-110,"draftkings","11/19 2:49 PM"
"11/26 12:30 PM","Texans","Lions","-2.0",-110,"draftkings","11/19 2:49 PM"
"11/26 4:30 PM","Football Team","Cowboys","-1.5",-110,"draftkings","11/19 2:49 PM"
"11/26 8:20 PM","Ravens","Steelers","-2.0",-110,"draftkings","11/19 2:49 PM"
