"date","away","home","spread","vig","src","updated"
"10/29 8:20 PM","Falcons","Panthers","-2.5",-120,"draftkings","10/28 10:40 AM"
"11/1 1:00 PM","Vikings","Packers","-6.5",-114,"draftkings","10/28 10:40 AM"
"11/1 1:00 PM","Colts","Lions","3.0",-118,"draftkings","10/28 10:40 AM"
"11/1 1:00 PM","Steelers","Ravens","-4.0",-107,"draftkings","10/28 10:40 AM"
"11/1 1:00 PM","Raiders","Browns","-2.5",-114,"draftkings","10/28 10:40 AM"
"11/1 1:00 PM","Titans","Bengals","6.0",-109,"draftkings","10/28 10:40 AM"
"11/1 1:00 PM","Patriots","Bills","-3.5",-107,"draftkings","10/28 10:40 AM"
"11/1 1:00 PM","Jets","Chiefs","-19.5",-106,"draftkings","10/28 10:40 AM"
"11/1 1:00 PM","Rams","Dolphins","4.0",-110,"draftkings","10/28 10:40 AM"
"11/1 4:05 PM","Chargers","Broncos","3.5",-117,"draftkings","10/28 10:40 AM"
"11/1 4:25 PM","49ers","Seahawks","-3.0",-118,"draftkings","10/28 10:40 AM"
"11/1 4:25 PM","Saints","Bears","4.0",-110,"draftkings","10/28 10:40 AM"
"11/1 8:20 PM","Cowboys","Eagles","-7.5",-107,"draftkings","10/28 10:40 AM"
"11/2 8:15 PM","Buccaneers","Giants","10.5",-110,"draftkings","10/28 10:40 AM"
"11/5 8:20 PM","Packers","49ers","-1.0",-110,"williamhill_us","10/28 10:43 AM"
"11/8 1:00 PM","Ravens","Colts","4.0",-110,"williamhill_us","10/28 10:43 AM"
"11/8 1:00 PM","Broncos","Falcons","-3.5",-105,"williamhill_us","10/28 10:43 AM"
"11/8 1:00 PM","Bears","Titans","-6.5",-110,"williamhill_us","10/28 10:43 AM"
"11/8 1:00 PM","Lions","Vikings","-2.5",-110,"williamhill_us","10/28 10:43 AM"
"11/8 1:00 PM","Panthers","Chiefs","-10.0",-115,"williamhill_us","10/28 10:43 AM"
"11/8 1:00 PM","Seahawks","Bills","1.5",100,"betonlineag","10/28 10:42 AM"
"11/8 1:00 PM","Giants","Football Team","-3.5",-105,"betonlineag","10/28 10:42 AM"
"11/8 4:25 PM","Dolphins","Cardinals","-6.0",-105,"williamhill_us","10/28 10:43 AM"
"11/8 8:20 PM","Saints","Buccaneers","-4.0",-105,"betonlineag","10/28 10:42 AM"
"11/9 8:15 PM","Patriots","Jets","7.0",-105,"betonlineag","10/28 10:42 AM"
