"date","away","home","spread","vig","src","updated"
"11/12 8:20 PM","Colts","Titans","-1.0",-115,"bovada","11/8 11:11 AM"
"11/15 1:00 PM","Texans","Browns","-2.5",-114,"fanduel","11/8 11:11 AM"
"11/15 1:00 PM","Eagles","Giants","3.0",100,"bovada","11/8 11:11 AM"
"11/15 1:00 PM","Football Team","Lions","-3.5",-110,"bovada","11/8 11:11 AM"
"11/15 1:00 PM","Jaguars","Packers","-14.0",-110,"bovada","11/8 11:11 AM"
"11/15 1:00 PM","Buccaneers","Panthers","7.0",-115,"bovada","11/8 11:11 AM"
"11/15 1:00 PM","Bengals","Steelers","-10.0",-110,"bovada","11/8 11:11 AM"
"11/15 4:05 PM","Bills","Cardinals","-3.0",100,"bovada","11/8 11:11 AM"
"11/15 4:05 PM","Chargers","Dolphins","-2.0",-115,"bovada","11/8 11:11 AM"
"11/15 4:05 PM","Broncos","Raiders","-3.5",-110,"bovada","11/8 11:11 AM"
"11/15 4:25 PM","Seahawks","Rams","0.0",-110,"bovada","11/8 11:11 AM"
"11/15 8:20 PM","Ravens","Patriots","6.5",-105,"bovada","11/8 11:11 AM"
"11/16 8:15 PM","Vikings","Bears","-2.0",-110,"bovada","11/8 11:11 AM"
"11/8 1:00 PM","Seahawks","Bills","3.0",100,"bovada","11/8 11:11 AM"
"11/8 1:00 PM","Ravens","Colts","-1.0",-105,"bovada","11/8 11:11 AM"
"11/8 1:00 PM","Broncos","Falcons","-4.0",-110,"bovada","11/8 11:11 AM"
"11/8 1:00 PM","Giants","Football Team","-3.0",100,"bovada","11/8 11:11 AM"
"11/8 1:00 PM","Texans","Jaguars","7.0",-120,"bovada","11/8 11:11 AM"
"11/8 1:00 PM","Bears","Titans","-6.5",-105,"bovada","11/8 11:11 AM"
"11/8 1:00 PM","Lions","Vikings","-3.5",-105,"bovada","11/8 11:11 AM"
"11/8 1:01 PM","Panthers","Chiefs","-10.0",-110,"bovada","11/8 11:11 AM"
"11/8 4:05 PM","Raiders","Chargers","1.0",-105,"bovada","11/8 11:11 AM"
"11/8 4:25 PM","Dolphins","Cardinals","-6.0",-110,"bovada","11/8 11:11 AM"
"11/8 4:25 PM","Steelers","Cowboys","14.0",-105,"bovada","11/8 11:11 AM"
"11/8 8:20 PM","Saints","Buccaneers","-3.5",-110,"bovada","11/8 11:11 AM"
"11/9 8:15 PM","Patriots","Jets","10.0",-115,"bovada","11/8 11:11 AM"
