"date","away","home","spread","vig","src","updated"
"11/1 1:00 PM","Vikings","Packers","-6.0",-115,"bovada","11/1 10:42 AM"
"11/1 1:00 PM","Colts","Lions","3.0",105,"bovada","11/1 10:42 AM"
"11/1 1:00 PM","Steelers","Ravens","-4.0",-110,"bovada","11/1 10:42 AM"
"11/1 1:00 PM","Raiders","Browns","-1.0",-105,"bovada","11/1 10:42 AM"
"11/1 1:00 PM","Titans","Bengals","7.0",-115,"bovada","11/1 10:42 AM"
"11/1 1:00 PM","Patriots","Bills","-4.5",-110,"bovada","11/1 10:42 AM"
"11/1 1:00 PM","Jets","Chiefs","-20.0",-110,"bovada","11/1 10:42 AM"
"11/1 1:00 PM","Rams","Dolphins","3.5",-115,"bovada","11/1 10:42 AM"
"11/1 4:05 PM","Chargers","Broncos","3.0",100,"bovada","11/1 10:42 AM"
"11/1 4:25 PM","49ers","Seahawks","-3.0",115,"bovada","11/1 10:42 AM"
"11/1 4:25 PM","Saints","Bears","4.5",-105,"bovada","11/1 10:42 AM"
"11/1 8:21 PM","Cowboys","Eagles","-10.5",-110,"bovada","11/1 10:42 AM"
"11/2 8:15 PM","Buccaneers","Giants","13.0",-115,"bovada","11/1 10:42 AM"
"11/5 8:20 PM","Packers","49ers","0.0",-110,"bovada","11/1 10:42 AM"
"11/8 1:00 PM","Ravens","Colts","4.0",-115,"bovada","11/1 10:42 AM"
"11/8 1:00 PM","Broncos","Falcons","-3.5",-110,"bovada","11/1 10:42 AM"
"11/8 1:00 PM","Bears","Titans","-6.5",-105,"bovada","11/1 10:42 AM"
"11/8 1:00 PM","Panthers","Chiefs","-10.0",-124,"fanduel","11/1 10:42 AM"
"11/8 1:00 PM","Seahawks","Bills","2.0",-110,"bovada","11/1 10:42 AM"
"11/8 1:00 PM","Giants","Football Team","-3.5",-111,"betonlineag","11/1 10:42 AM"
"11/8 1:00 PM","Lions","Vikings","-1.5",-110,"bovada","11/1 10:42 AM"
"11/8 4:05 PM","Raiders","Chargers","-2.5",-120,"bovada","11/1 10:42 AM"
"11/8 4:25 PM","Dolphins","Cardinals","-5.0",-110,"bovada","11/1 10:42 AM"
"11/8 8:20 PM","Saints","Buccaneers","-4.0",-110,"bovada","11/1 10:42 AM"
"11/9 8:15 PM","Patriots","Jets","7.5",-115,"bovada","11/1 10:42 AM"
