"date","away","home","spread","vig","src","updated"
"04/8 07:45 PM","Lakers","Heat","-9.0",-110,"bovada","04/8 03:06 PM"
"04/8 07:45 PM","Bulls","Raptors","4.0",-110,"bovada","04/8 03:06 PM"
"04/8 08:15 PM","Cavaliers","Thunder","3.5",-110,"bovada","04/8 03:06 PM"
"04/8 09:15 PM","Bucks","Mavericks","-2.0",-110,"bovada","04/8 03:06 PM"
"04/8 10:15 PM","Suns","Clippers","-6.0",-110,"bovada","04/8 03:06 PM"
"04/8 10:15 PM","Trail Blazers","Jazz","-6.0",-110,"bovada","04/8 03:06 PM"
"04/8 10:15 PM","Pistons","Kings","-7.5",-110,"bovada","04/8 03:06 PM"
