"date","away","home","spread","vig","src","updated"
"12/6 1:00 PM","Lions","Bears","-3.0",-115,"bovada","12/4 10:19 AM"
"12/6 1:00 PM","Bengals","Dolphins","-11.5",-115,"bovada","12/4 10:19 AM"
"12/6 1:00 PM","Saints","Falcons","3.0",-120,"bovada","12/4 10:19 AM"
"12/6 1:00 PM","Raiders","Jets","9.0",-115,"bovada","12/4 10:19 AM"
"12/6 1:00 PM","Colts","Texans","3.5",-110,"bovada","12/4 10:19 AM"
"12/6 1:00 PM","Browns","Titans","-5.5",-110,"bovada","12/4 10:19 AM"
"12/6 1:00 PM","Jaguars","Vikings","-10.0",-115,"bovada","12/4 10:19 AM"
"12/6 4:05 PM","Rams","Cardinals","3.0",-125,"bovada","12/4 10:19 AM"
"12/6 4:05 PM","Giants","Seahawks","-10.0",-115,"bovada","12/4 10:19 AM"
"12/6 4:25 PM","Patriots","Chargers","1.0",-115,"bovada","12/4 10:19 AM"
"12/6 4:25 PM","Eagles","Packers","-9.0",-105,"bovada","12/4 10:19 AM"
"12/6 8:20 PM","Broncos","Chiefs","-14.0",-105,"bovada","12/4 10:19 AM"
"12/7 5:00 PM","Cowboys","Ravens","-7.5",-110,"fanduel","12/4 10:21 AM"
"12/7 5:00 PM","Football Team","Steelers","-9.0",100,"bovada","12/4 10:19 AM"
"12/7 8:16 PM","Bills","49ers","-1.0",-105,"bovada","12/4 10:19 AM"
"12/8 8:05 PM","Cowboys","Ravens","-7.5",-110,"draftkings","12/4 10:19 AM"
