"date","away","home","spread","vig","src","updated"
"11/29 1:00 PM","Giants","Bengals","6.0",-105,"bovada","11/29 11:28 AM"
"11/29 1:00 PM","Chargers","Bills","-4.5",-110,"bovada","11/29 11:28 AM"
"11/29 1:00 PM","Titans","Colts","-3.0",-105,"bovada","11/29 11:28 AM"
"11/29 1:00 PM","Raiders","Falcons","3.0",110,"bovada","11/29 11:28 AM"
"11/29 1:00 PM","Browns","Jaguars","7.5",-115,"bovada","11/29 11:28 AM"
"11/29 1:00 PM","Dolphins","Jets","7.5",-115,"bovada","11/29 11:28 AM"
"11/29 1:00 PM","Cardinals","Patriots","1.0",-105,"bovada","11/29 11:28 AM"
"11/29 1:00 PM","Panthers","Vikings","-3.0",-110,"bovada","11/29 11:28 AM"
"11/29 4:05 PM","Saints","Broncos","16.5",-110,"bovada","11/29 11:28 AM"
"11/29 4:05 PM","49ers","Rams","-5.5",-110,"bovada","11/29 11:28 AM"
"11/29 4:25 PM","Chiefs","Buccaneers","3.5",-115,"bovada","11/29 11:28 AM"
"11/29 8:20 PM","Bears","Packers","-8.0",-110,"bovada","11/29 11:28 AM"
"11/30 8:15 PM","Seahawks","Eagles","6.0",-105,"bovada","11/29 11:28 AM"
"12/1 8:00 PM","Ravens","Steelers","-10.0",-115,"bovada","11/29 11:28 AM"
"12/6 1:00 PM","Bengals","Dolphins","-10.5",-110,"bovada","11/29 11:28 AM"
"12/6 1:00 PM","Saints","Falcons","3.0",105,"bovada","11/29 11:28 AM"
"12/6 1:00 PM","Raiders","Jets","7.5",-110,"bovada","11/29 11:28 AM"
"12/6 1:00 PM","Football Team","Steelers","-10.5",100,"williamhill_us","11/29 11:28 AM"
"12/6 1:00 PM","Colts","Texans","3.0",-120,"bovada","11/29 11:28 AM"
"12/6 1:00 PM","Browns","Titans","-4.0",-110,"bovada","11/29 11:28 AM"
"12/6 1:00 PM","Jaguars","Vikings","-9.5",-115,"bovada","11/29 11:28 AM"
"12/6 4:05 PM","Rams","Cardinals","1.5",-110,"bovada","11/29 11:28 AM"
"12/6 4:05 PM","Giants","Seahawks","-8.5",-110,"bovada","11/29 11:28 AM"
"12/6 4:25 PM","Patriots","Chargers","-2.5",-105,"bovada","11/29 11:28 AM"
"12/6 4:25 PM","Eagles","Packers","-7.0",-120,"bovada","11/29 11:28 AM"
"12/7 8:15 PM","Bills","49ers","3.0",-115,"bovada","11/29 11:28 AM"
