"date","away","home","spread","vig","src","updated"
"03/31 07:10 PM","Heat","Pacers","-2.5",-108,"draftkings","03/31 08:48 PM"
"03/31 07:10 PM","Trail Blazers","Pistons","10.0",-115,"draftkings","03/31 08:48 PM"
"03/31 07:40 PM","Rockets","Nets","12.5",-110,"bovada","03/31 08:48 PM"
"03/31 07:45 PM","Mavericks","Celtics","6.0",-110,"bovada","03/31 08:48 PM"
"03/31 08:10 PM","Jazz","Grizzlies","8.5",-112,"draftkings","03/31 08:48 PM"
"03/31 08:10 PM","Raptors","Thunder","8.5",-110,"draftkings","03/31 08:48 PM"
"03/31 08:10 PM","Knicks","Timberwolves","9.5",-114,"draftkings","03/31 08:48 PM"
"03/31 08:40 PM","Kings","Spurs","-2.5",-110,"bovada","03/31 08:40 PM"
"03/31 10:10 PM","Bucks","Lakers","8.5",-105,"bovada","03/31 08:48 PM"
"03/31 10:10 PM","Bulls","Suns","-8.0",-110,"bovada","03/31 08:48 PM"
