"date","away","home","spread","vig","src","updated"
"04/7 09:10 PM","Spurs","Nuggets","2.5",-115,"bovada","04/7 10:20 PM"
"04/7 10:11 PM","Jazz","Suns","0.0",-115,"draftkings","04/7 10:27 PM"
"04/8 07:45 PM","Lakers","Heat","-8.5",-110,"bovada","04/7 10:27 PM"
"04/8 08:15 PM","Cavaliers","Thunder","2.0",-110,"bovada","04/7 10:27 PM"
"04/8 10:15 PM","Suns","Clippers","-5.0",-110,"bovada","04/7 10:27 PM"
"04/8 10:15 PM","Trail Blazers","Jazz","-7.0",-110,"bovada","04/7 10:27 PM"
"04/8 10:15 PM","Pistons","Kings","2.0",-110,"fanduel","04/7 10:26 PM"
