"date","away","home","spread","vig","src","updated"
"12/13 1:00 PM","Texans","Bears","1.5",-115,"bovada","12/13 11:33 AM"
"12/13 1:00 PM","Cowboys","Bengals","3.0",-105,"bovada","12/13 11:33 AM"
"12/13 1:00 PM","Vikings","Buccaneers","-7.0",-110,"bovada","12/13 11:33 AM"
"12/13 1:00 PM","Chiefs","Dolphins","7.0",-110,"bovada","12/13 11:33 AM"
"12/13 1:00 PM","Cardinals","Giants","3.0",-110,"bovada","12/13 11:33 AM"
"12/13 1:00 PM","Titans","Jaguars","7.5",-110,"bovada","12/13 11:33 AM"
"12/13 1:00 PM","Broncos","Panthers","-4.0",-110,"bovada","12/13 11:33 AM"
"12/13 4:05 PM","Colts","Raiders","3.0",-120,"bovada","12/13 11:33 AM"
"12/13 4:05 PM","Jets","Seahawks","-16.5",-110,"bovada","12/13 11:33 AM"
"12/13 4:25 PM","Football Team","49ers","-3.0",100,"bovada","12/13 11:33 AM"
"12/13 4:25 PM","Falcons","Chargers","-1.5",-115,"bovada","12/13 11:33 AM"
"12/13 4:25 PM","Saints","Eagles","8.0",-115,"bovada","12/13 11:33 AM"
"12/13 4:25 PM","Packers","Lions","8.0",-115,"bovada","12/13 11:33 AM"
"12/13 8:20 PM","Steelers","Bills","-2.5",-110,"bovada","12/13 11:33 AM"
"12/14 8:15 PM","Ravens","Browns","3.0",-115,"bovada","12/13 11:33 AM"
