"date","away","home","spread","vig","src","updated"
"03/24 07:15 PM","Pistons","Pacers","-7.0",-115,"bovada","03/24 06:41 PM"
"03/24 07:45 PM","Celtics","Bucks","-6.5",-110,"bovada","03/24 06:41 PM"
"03/24 07:45 PM","Nuggets","Raptors","2.0",-115,"bovada","03/24 06:41 PM"
"03/24 08:15 PM","Cavaliers","Bulls","-7.5",-110,"bovada","03/24 06:41 PM"
"03/24 08:15 PM","Suns","Magic","10.0",-115,"bovada","03/24 06:41 PM"
"03/24 08:15 PM","Hornets","Rockets","4.0",-110,"bovada","03/24 06:41 PM"
"03/24 08:15 PM","Grizzlies","Thunder","6.5",-110,"bovada","03/24 06:39 PM"
"03/24 08:15 PM","Mavericks","Timberwolves","8.0",-105,"bovada","03/24 06:41 PM"
"03/24 08:40 PM","Clippers","Spurs","6.0",-110,"bovada","03/24 06:41 PM"
"03/24 10:15 PM","Nets","Jazz","-11.0",-115,"bovada","03/24 06:41 PM"
"03/24 10:15 PM","Hawks","Kings","3.0",-105,"bovada","03/24 06:41 PM"
