"date","away","home","spread","vig","src","updated"
"11/22 1:00 PM","Eagles","Browns","-2.5",-115,"bovada","11/22 11:30 AM"
"11/22 1:00 PM","Bengals","Football Team","-1.5",-110,"bovada","11/22 11:30 AM"
"11/22 1:00 PM","Steelers","Jaguars","10.5",-115,"bovada","11/22 11:30 AM"
"11/22 1:00 PM","Lions","Panthers","-1.0",-105,"bovada","11/22 11:30 AM"
"11/22 1:00 PM","Titans","Ravens","-6.0",-105,"bovada","11/22 11:30 AM"
"11/22 1:00 PM","Falcons","Saints","-3.5",-110,"bovada","11/22 11:30 AM"
"11/22 1:00 PM","Patriots","Texans","2.0",-105,"bovada","11/22 11:30 AM"
"11/22 4:05 PM","Dolphins","Broncos","4.0",-115,"bovada","11/22 11:30 AM"
"11/22 4:06 PM","Jets","Chargers","-10.0",100,"bovada","11/22 11:30 AM"
"11/22 4:25 PM","Packers","Colts","-1.5",-110,"bovada","11/22 11:30 AM"
"11/22 4:25 PM","Cowboys","Vikings","-7.0",-115,"bovada","11/22 11:30 AM"
"11/22 8:20 PM","Chiefs","Raiders","7.5",-115,"bovada","11/22 11:30 AM"
"11/23 8:15 PM","Rams","Buccaneers","-4.5",-110,"bovada","11/22 11:30 AM"
"11/26 12:30 PM","Texans","Lions","-2.0",-110,"draftkings","11/22 11:38 AM"
"11/26 4:30 PM","Football Team","Cowboys","-1.0",-115,"bovada","11/22 11:30 AM"
"11/26 8:20 PM","Ravens","Steelers","-2.5",-125,"bovada","11/22 11:30 AM"
