"date","away","home","spread","vig","src","updated"
"04/5 07:15 PM","Jazz","Mavericks","5.0",-110,"bovada","04/5 03:52 PM"
"04/5 07:15 PM","Knicks","Nets","-6.0",-115,"bovada","04/5 03:52 PM"
"04/5 07:15 PM","Wizards","Raptors","-5.0",-110,"bovada","04/5 03:52 PM"
"04/5 07:15 PM","Cavaliers","Spurs","-9.5",-110,"bovada","04/5 03:52 PM"
"04/5 07:15 PM","Pistons","Thunder","3.0",-110,"bovada","04/5 03:52 PM"
"04/5 07:15 PM","Kings","Timberwolves","4.5",-110,"bovada","04/5 03:52 PM"
"04/5 08:15 PM","Suns","Rockets","14.5",-110,"bovada","04/5 03:52 PM"
