"date","away","home","spread","vig","src","updated"
"12/10 8:20 PM","Patriots","Rams","-4.5",-115,"bovada","12/10 5:28 PM"
"12/13 1:00 PM","Texans","Bears","1.5",-110,"bovada","12/10 5:28 PM"
"12/13 1:00 PM","Cowboys","Bengals","3.5",-110,"bovada","12/10 5:28 PM"
"12/13 1:00 PM","Vikings","Buccaneers","-6.5",-115,"bovada","12/10 5:28 PM"
"12/13 1:00 PM","Chiefs","Dolphins","7.0",-105,"bovada","12/10 5:28 PM"
"12/13 1:00 PM","Cardinals","Giants","3.0",-115,"bovada","12/10 5:28 PM"
"12/13 1:00 PM","Titans","Jaguars","7.5",-115,"bovada","12/10 5:28 PM"
"12/13 1:00 PM","Broncos","Panthers","-3.5",100,"draftkings","12/10 5:29 PM"
"12/13 4:05 PM","Colts","Raiders","3.0",-115,"bovada","12/10 5:28 PM"
"12/13 4:05 PM","Jets","Seahawks","-13.5",-110,"bovada","12/10 5:28 PM"
"12/13 4:25 PM","Football Team","49ers","-3.0",-115,"bovada","12/10 5:28 PM"
"12/13 4:25 PM","Falcons","Chargers","2.5",-115,"bovada","12/10 5:28 PM"
"12/13 4:25 PM","Saints","Eagles","7.0",-120,"bovada","12/10 5:28 PM"
"12/13 4:25 PM","Packers","Lions","8.0",-110,"bovada","12/10 5:28 PM"
"12/13 8:20 PM","Steelers","Bills","-2.0",-115,"bovada","12/10 5:28 PM"
"12/14 8:15 PM","Ravens","Browns","2.5",-110,"bovada","12/10 5:28 PM"
