"date","away","home","spread","vig","src","updated"
"04/9 07:15 PM","Pacers","Magic","5.0",-110,"bovada","04/9 05:31 PM"
"04/9 07:40 PM","Timberwolves","Celtics","-8.5",-110,"bovada","04/9 05:31 PM"
"04/9 07:40 PM","Grizzlies","Knicks","1.5",-110,"bovada","04/9 05:31 PM"
"04/9 08:15 PM","Bulls","Hawks","-1.5",-110,"bovada","04/9 05:31 PM"
"04/9 08:15 PM","76ers","Pelicans","6.5",-110,"bovada","04/9 05:31 PM"
"04/9 09:15 PM","Hornets","Bucks","-5.0",-110,"bovada","04/9 05:31 PM"
"04/9 09:15 PM","Spurs","Nuggets","-8.0",-115,"bovada","04/9 05:31 PM"
"04/9 10:10 PM","Wizards","Warriors","-5.0",-110,"bovada","04/9 05:31 PM"
"04/9 10:15 PM","Rockets","Clippers","-11.5",-110,"bovada","04/9 05:31 PM"
