"date","away","home","spread","vig","src","updated"
"11/26 12:30 PM","Texans","Lions","3.0",-110,"draftkings","11/25 5:39 PM"
"11/26 4:30 PM","Football Team","Cowboys","-3.0",-103,"draftkings","11/25 5:39 PM"
"11/29 1:00 PM","Giants","Bengals","6.0",-110,"draftkings","11/25 5:39 PM"
"11/29 1:00 PM","Chargers","Bills","-5.5",-110,"draftkings","11/25 5:39 PM"
"11/29 1:00 PM","Titans","Colts","-3.0",-110,"draftkings","11/25 5:39 PM"
"11/29 1:00 PM","Raiders","Falcons","3.0",-110,"draftkings","11/25 5:39 PM"
"11/29 1:00 PM","Browns","Jaguars","6.5",-110,"draftkings","11/25 5:39 PM"
"11/29 1:00 PM","Dolphins","Jets","7.0",-120,"draftkings","11/25 5:39 PM"
"11/29 1:00 PM","Cardinals","Patriots","2.5",-110,"draftkings","11/25 5:39 PM"
"11/29 1:00 PM","Panthers","Vikings","-3.5",-110,"draftkings","11/25 5:39 PM"
"11/29 1:15 PM","Ravens","Steelers","-4.0",-114,"draftkings","11/25 5:39 PM"
"11/29 4:05 PM","Saints","Broncos","6.0",-110,"draftkings","11/25 5:39 PM"
"11/29 4:05 PM","49ers","Rams","-6.5",-120,"draftkings","11/25 5:39 PM"
"11/29 4:25 PM","Chiefs","Buccaneers","3.5",-110,"draftkings","11/25 5:39 PM"
"11/29 8:20 PM","Bears","Packers","-8.5",-110,"draftkings","11/25 5:39 PM"
"11/30 8:15 PM","Seahawks","Eagles","5.0",-110,"draftkings","11/25 5:39 PM"
"12/3 8:20 PM","Cowboys","Ravens","-7.0",-105,"williamhill_us","11/25 5:37 PM"
"12/6 1:00 PM","Bengals","Dolphins","-10.5",-110,"williamhill_us","11/25 5:37 PM"
"12/6 1:00 PM","Saints","Falcons","3.5",-120,"williamhill_us","11/25 5:37 PM"
"12/6 1:00 PM","Raiders","Jets","8.0",-110,"williamhill_us","11/25 5:37 PM"
"12/6 1:00 PM","Football Team","Steelers","-11.0",-110,"williamhill_us","11/25 5:37 PM"
"12/6 1:00 PM","Colts","Texans","3.5",-110,"williamhill_us","11/25 5:37 PM"
"12/6 1:00 PM","Browns","Titans","-3.0",-115,"williamhill_us","11/25 5:37 PM"
"12/6 1:00 PM","Jaguars","Vikings","-9.0",-110,"williamhill_us","11/25 5:37 PM"
"12/6 4:05 PM","Rams","Cardinals","0.0",-105,"williamhill_us","11/25 5:37 PM"
"12/6 4:05 PM","Giants","Seahawks","-7.5",100,"williamhill_us","11/25 5:37 PM"
"12/6 4:25 PM","Patriots","Chargers","-2.5",-110,"williamhill_us","11/25 5:37 PM"
"12/6 4:25 PM","Eagles","Packers","-7.0",-110,"williamhill_us","11/25 5:37 PM"
"12/6 8:20 PM","Broncos","Chiefs","-13.0",-110,"williamhill_us","11/25 5:37 PM"
"12/7 8:15 PM","Bills","49ers","2.5",-105,"williamhill_us","11/25 5:37 PM"
