"date","away","home","spread","vig","src","updated"
"04/10 07:45 PM","Raptors","Cavaliers","-2.0",-105,"bovada","04/10 03:13 PM"
"04/10 08:45 PM","Lakers","Nets","-10.5",-115,"bovada","04/10 03:13 PM"
"04/10 09:15 PM","Kings","Jazz","-11.5",-110,"bovada","04/10 03:13 PM"
"04/10 09:15 PM","76ers","Thunder","10.0",-110,"bovada","04/10 03:13 PM"
"04/10 10:15 PM","Wizards","Suns","-12.0",-110,"bovada","04/10 03:13 PM"
"04/10 10:15 PM","Pistons","Trail Blazers","-11.5",-110,"bovada","04/10 03:13 PM"
"04/10 10:15 PM","Rockets","Warriors","-8.5",-110,"bovada","04/10 03:13 PM"
