"date","away","home","spread","vig","src","updated"
"11/5 8:20 PM","Packers","49ers","5.5",-112,"draftkings","11/3 7:09 PM"
"11/8 1:00 PM","Seahawks","Bills","3.0",-118,"draftkings","11/3 7:09 PM"
"11/8 1:00 PM","Panthers","Chiefs","-10.5",-110,"draftkings","11/3 7:09 PM"
"11/8 1:00 PM","Ravens","Colts","2.5",-110,"draftkings","11/3 7:09 PM"
"11/8 1:00 PM","Broncos","Falcons","-4.0",-110,"draftkings","11/3 7:09 PM"
"11/8 1:00 PM","Giants","Football Team","-3.0",-110,"draftkings","11/3 7:09 PM"
"11/8 1:00 PM","Texans","Jaguars","7.0",-110,"draftkings","11/3 7:09 PM"
"11/8 1:00 PM","Bears","Titans","-5.5",-110,"draftkings","11/3 7:09 PM"
"11/8 1:00 PM","Lions","Vikings","-4.0",-110,"draftkings","11/3 7:09 PM"
"11/8 4:05 PM","Raiders","Chargers","-1.5",-110,"draftkings","11/3 7:09 PM"
"11/8 4:25 PM","Dolphins","Cardinals","-4.5",-110,"draftkings","11/3 7:09 PM"
"11/8 4:25 PM","Steelers","Cowboys","13.5",-110,"draftkings","11/3 7:09 PM"
"11/8 8:20 PM","Saints","Buccaneers","-5.5",-110,"draftkings","11/3 7:09 PM"
"11/9 8:15 PM","Patriots","Jets","7.0",-103,"draftkings","11/3 7:09 PM"
