"date","away","home","spread","vig","src","updated"
"12/27 1:00 PM","Falcons","Chiefs","-10.5",-115,"bovada","12/27 11:08 AM"
"12/27 1:00 PM","Bears","Jaguars","8.5",-115,"bovada","12/27 11:08 AM"
"12/27 1:00 PM","Browns","Jets","7.0",-125,"bovada","12/27 11:08 AM"
"12/27 1:00 PM","Giants","Ravens","-10.0",-115,"bovada","12/27 11:08 AM"
"12/27 1:00 PM","Colts","Steelers","1.0",-110,"bovada","12/27 11:08 AM"
"12/27 1:00 PM","Bengals","Texans","-7.5",-110,"bovada","12/27 11:08 AM"
"12/27 4:05 PM","Broncos","Chargers","-2.5",-110,"bovada","12/27 11:08 AM"
"12/27 4:05 PM","Panthers","Football Team","1.0",-115,"bovada","12/27 11:08 AM"
"12/27 4:25 PM","Eagles","Cowboys","3.0",100,"bovada","12/27 11:08 AM"
"12/27 4:25 PM","Rams","Seahawks","-1.0",-115,"bovada","12/27 11:08 AM"
"12/27 8:20 PM","Titans","Packers","-3.0",-115,"bovada","12/27 11:08 AM"
"12/28 8:15 PM","Bills","Patriots","7.0",-115,"bovada","12/27 11:08 AM"
