"date","away","home","spread","vig","src","updated"
"11/12 8:21 PM","Colts","Titans","1.0",-110,"draftkings","11/11 8:07 PM"
"11/15 1:00 PM","Texans","Browns","-3.5",-114,"draftkings","11/11 8:07 PM"
"11/15 1:00 PM","Eagles","Giants","3.5",-117,"draftkings","11/11 8:07 PM"
"11/15 1:00 PM","Football Team","Lions","-4.5",-110,"draftkings","11/11 8:07 PM"
"11/15 1:00 PM","Buccaneers","Panthers","5.5",-104,"draftkings","11/11 8:07 PM"
"11/15 1:01 PM","Jaguars","Packers","-13.0",-110,"draftkings","11/11 8:07 PM"
"11/15 4:05 PM","Bills","Cardinals","-2.0",-110,"draftkings","11/11 8:07 PM"
"11/15 4:05 PM","Broncos","Raiders","-5.0",-110,"draftkings","11/11 8:07 PM"
"11/15 4:06 PM","Chargers","Dolphins","-2.5",-118,"draftkings","11/11 8:07 PM"
"11/15 4:25 PM","Seahawks","Rams","-1.5",-110,"draftkings","11/11 8:07 PM"
"11/15 4:25 PM","49ers","Saints","-9.0",-112,"draftkings","11/11 8:07 PM"
"11/15 4:25 PM","Bengals","Steelers","-7.0",-110,"draftkings","11/11 8:07 PM"
"11/15 8:20 PM","Ravens","Patriots","7.0",-103,"draftkings","11/11 8:07 PM"
"11/16 8:15 PM","Vikings","Bears","3.0",-121,"draftkings","11/11 8:07 PM"
