"date","away","home","spread","vig","src","updated"
"11/15 1:00 PM","Texans","Browns","-4.5",-110,"draftkings","11/15 12:00 PM"
"11/15 1:00 PM","Eagles","Giants","5.0",-110,"draftkings","11/15 12:00 PM"
"11/15 1:00 PM","Football Team","Lions","-2.5",-115,"draftkings","11/15 12:00 PM"
"11/15 1:00 PM","Buccaneers","Panthers","6.0",-110,"draftkings","11/15 12:00 PM"
"11/15 1:01 PM","Jaguars","Packers","-13.5",-110,"draftkings","11/15 12:00 PM"
"11/15 4:05 PM","Bills","Cardinals","-3.0",-110,"draftkings","11/15 12:00 PM"
"11/15 4:05 PM","Broncos","Raiders","-3.5",-110,"draftkings","11/15 12:00 PM"
"11/15 4:06 PM","Chargers","Dolphins","-2.5",-110,"draftkings","11/15 12:00 PM"
"11/15 4:25 PM","Seahawks","Rams","-2.5",-118,"draftkings","11/15 12:00 PM"
"11/15 4:25 PM","49ers","Saints","-9.5",-110,"draftkings","11/15 12:00 PM"
"11/15 4:25 PM","Bengals","Steelers","-6.5",-110,"draftkings","11/15 12:00 PM"
"11/15 8:20 PM","Ravens","Patriots","7.0",-110,"draftkings","11/15 12:00 PM"
"11/16 8:15 PM","Vikings","Bears","3.0",-107,"draftkings","11/15 12:00 PM"
