"date","away","home","spread","vig","src","updated"
"04/6 07:10 PM","Bulls","Pacers","1.5",-109,"draftkings","04/6 07:28 PM"
"04/6 07:45 PM","76ers","Celtics","1.0",-110,"bovada","04/6 07:28 PM"
"04/6 07:45 PM","Pelicans","Hawks","-3.5",-110,"bovada","04/6 07:28 PM"
"04/6 07:45 PM","Lakers","Raptors","1.0",-105,"bovada","04/6 07:28 PM"
"04/6 08:15 PM","Grizzlies","Heat","-6.0",-115,"bovada","04/6 07:28 PM"
"04/6 09:15 PM","Pistons","Nuggets","-12.0",-115,"bovada","04/6 07:28 PM"
"04/6 10:15 PM","Trail Blazers","Clippers","-6.0",-105,"bovada","04/6 07:28 PM"
"04/6 10:15 PM","Bucks","Warriors","6.5",-110,"bovada","04/6 07:28 PM"
