"date","away","home","spread","vig","src","updated"
"01/24 03:05 PM","Buccaneers","Packers","-3.5",-110,"bovada","01/22 04:49 PM"
"01/24 06:40 PM","Bills","Chiefs","-3.5",-105,"bovada","01/22 04:49 PM"
"02/7 06:30 PM","Bills","Buccaneers","1.5",-117,"draftkings","01/22 04:51 PM"
"02/7 06:30 PM","Chiefs","Buccaneers","3.5",-124,"draftkings","01/22 04:51 PM"
"02/7 06:30 PM","Bills","Packers","-2.5",-112,"draftkings","01/22 04:51 PM"
"02/7 06:30 PM","Chiefs","Packers","2.5",-110,"draftkings","01/22 04:51 PM"
